,Top,period,weighted_index
216,Food and Non-Alcoholic Beverages,201622.0,89.5002903261
217,Food and Non-Alcoholic Beverages,201623.0,89.2587171915
218,Food and Non-Alcoholic Beverages,201624.0,89.527293035
219,Food and Non-Alcoholic Beverages,201625.0,89.1154970094
220,Food and Non-Alcoholic Beverages,201626.0,88.8394013219
221,Food and Non-Alcoholic Beverages,201627.0,88.4930975138
222,Food and Non-Alcoholic Beverages,201628.0,88.6448693715
223,Food and Non-Alcoholic Beverages,201629.0,88.0571051
224,Food and Non-Alcoholic Beverages,201630.0,88.4782013037
225,Food and Non-Alcoholic Beverages,201631.0,88.4564421166
226,Food and Non-Alcoholic Beverages,201632.0,88.2447940389
227,Food and Non-Alcoholic Beverages,201644.0,89.8746154193
