,GEKS,ons_item_no,i,period
303,98.5597397032,211807.0,13.0,201507.0
304,96.7566781285,211807.0,14.0,201508.0
305,94.1688940704,211807.0,15.0,201509.0
306,91.8518501783,211807.0,16.0,201510.0
307,91.9979798875,211807.0,17.0,201511.0
308,94.3223270712,211807.0,18.0,201512.0
309,88.850976522,211807.0,19.0,201601.0
310,92.9317283061,211807.0,20.0,201602.0
311,91.9153377577,211807.0,21.0,201603.0
312,89.3928644863,211807.0,22.0,201604.0
313,87.5115634281,211807.0,23.0,201605.0
314,92.0226934905,211807.0,24.0,201606.0
315,91.6731427042,211807.0,25.0,201607.0
316,94.7161580692,211807.0,26.0,201608.0
317,89.4771960539,211807.0,27.0,201610.0
318,89.3818214589,211807.0,28.0,201611.0
319,100.0,211814.0,0.0,201406.0
320,100.081274397,211814.0,1.0,201407.0
321,101.361536107,211814.0,2.0,201408.0
322,100.21232755,211814.0,3.0,201409.0
323,100.383497773,211814.0,4.0,201410.0
324,101.090906984,211814.0,5.0,201411.0
325,101.169903708,211814.0,6.0,201412.0
326,100.828058193,211814.0,7.0,201501.0
327,100.382646624,211814.0,8.0,201502.0
328,100.409288016,211814.0,9.0,201503.0
329,100.542749876,211814.0,10.0,201504.0
330,100.430837872,211814.0,11.0,201505.0
331,100.822555265,211814.0,12.0,201506.0
332,98.8963368537,211814.0,13.0,201507.0
333,98.0220481161,211814.0,14.0,201508.0
334,96.4299836162,211814.0,15.0,201509.0
335,95.8166874615,211814.0,16.0,201510.0
336,98.0718192219,211814.0,17.0,201511.0
337,98.8305149951,211814.0,18.0,201512.0
338,97.4370948365,211814.0,19.0,201601.0
339,99.0986110471,211814.0,20.0,201602.0
340,98.113559735,211814.0,21.0,201603.0
341,95.4356105134,211814.0,22.0,201604.0
342,91.2460833831,211814.0,23.0,201605.0
343,89.6564612709,211814.0,24.0,201606.0
344,90.1583094089,211814.0,25.0,201607.0
345,90.1376112324,211814.0,26.0,201608.0
346,87.3303164511,211814.0,27.0,201610.0
347,88.7740501706,211814.0,28.0,201611.0
348,100.0,211901.0,0.0,201406.0
349,101.523334337,211901.0,1.0,201407.0
350,100.04248386,211901.0,2.0,201408.0
351,99.4858863709,211901.0,3.0,201409.0
352,100.512633194,211901.0,4.0,201410.0
353,99.9533946048,211901.0,5.0,201411.0
354,95.3521529094,211901.0,6.0,201412.0
355,99.7516430631,211901.0,7.0,201501.0
356,100.258118527,211901.0,8.0,201502.0
357,99.0557273802,211901.0,9.0,201503.0
358,101.284001972,211901.0,10.0,201504.0
359,98.3594039216,211901.0,11.0,201505.0
360,99.2952871259,211901.0,12.0,201506.0
361,98.6150118299,211901.0,13.0,201507.0
362,96.5720832178,211901.0,14.0,201508.0
363,97.1347484773,211901.0,15.0,201509.0
364,95.7940758244,211901.0,16.0,201510.0
365,95.5776203461,211901.0,17.0,201511.0
366,97.41480787,211901.0,18.0,201512.0
367,95.3557412034,211901.0,19.0,201601.0
368,100.282081762,211901.0,20.0,201602.0
369,99.1487150825,211901.0,21.0,201603.0
370,100.538742071,211901.0,22.0,201604.0
371,101.133258133,211901.0,23.0,201605.0
372,99.9739245817,211901.0,24.0,201606.0
373,100.299825774,211901.0,25.0,201607.0
374,99.7726288326,211901.0,26.0,201608.0
375,98.6893672769,211901.0,27.0,201610.0
376,98.8827691339,211901.0,28.0,201611.0
377,100.0,212006.0,0.0,201406.0
378,99.4194351349,212006.0,1.0,201407.0
379,99.8838521434,212006.0,2.0,201408.0
380,97.3794397584,212006.0,3.0,201409.0
381,95.5263395298,212006.0,4.0,201410.0
382,97.9228771949,212006.0,5.0,201411.0
383,98.8891168209,212006.0,6.0,201412.0
384,96.0813067848,212006.0,7.0,201501.0
385,95.7368048556,212006.0,8.0,201502.0
386,93.2291241376,212006.0,9.0,201503.0
387,93.9974811459,212006.0,10.0,201504.0
388,91.6815160979,212006.0,11.0,201505.0
389,94.356370076,212006.0,12.0,201506.0
390,95.2196119907,212006.0,13.0,201507.0
391,91.4284315642,212006.0,14.0,201508.0
392,91.4859200356,212006.0,15.0,201509.0
393,91.6535240343,212006.0,16.0,201510.0
394,92.2967112466,212006.0,17.0,201511.0
395,90.047543065,212006.0,18.0,201512.0
396,92.8490260452,212006.0,19.0,201601.0
397,90.8155871393,212006.0,20.0,201602.0
