,ons_item_number,period,unit
344,210213.0,201425.0,98.2503299293
345,210213.0,201426.0,96.905537867
346,210213.0,201427.0,96.522920039
347,210213.0,201428.0,98.7435779236
348,210213.0,201429.0,99.5679660624
349,210213.0,201430.0,98.5718446537
350,210213.0,201431.0,98.1989006107
351,210213.0,201432.0,97.8505128299
352,210213.0,201433.0,97.5733762848
353,210213.0,201434.0,98.6489456734
354,210213.0,201435.0,97.0752849647
355,210213.0,201436.0,97.598871417
356,210213.0,201437.0,101.24503185
357,210213.0,201438.0,101.26493366
358,210213.0,201439.0,103.970292544
359,210213.0,201440.0,102.749429224
360,210213.0,201441.0,99.2808848774
361,210213.0,201442.0,99.0990554637
362,210213.0,201443.0,101.356697968
363,210213.0,201444.0,104.547579297
364,210213.0,201445.0,105.229554251
365,210213.0,201446.0,105.259151877
366,210213.0,201447.0,104.383713348
367,210213.0,201448.0,104.221633296
368,210213.0,201449.0,103.189726668
369,210213.0,201450.0,101.411145789
370,210213.0,201451.0,101.530415885
371,210213.0,201452.0,102.490309919
372,210213.0,201501.0,103.082329097
373,210213.0,201502.0,103.359999437
374,210213.0,201503.0,102.354387726
375,210213.0,201504.0,100.657313731
376,210213.0,201505.0,100.631949413
377,210213.0,201506.0,101.105705531
378,210213.0,201507.0,100.644360989
379,210213.0,201508.0,100.058057345
380,210213.0,201509.0,100.085138646
381,210213.0,201510.0,99.4005092029
382,210213.0,201511.0,100.261424434
383,210213.0,201512.0,98.5443235217
384,210213.0,201513.0,100.115192359
385,210213.0,201514.0,103.0921653
386,210213.0,201515.0,101.267439611
387,210213.0,201516.0,102.10691753
388,210213.0,201517.0,101.32487383
389,210213.0,201518.0,100.544673485
390,210213.0,201519.0,101.558972875
391,210213.0,201520.0,101.29503774
392,210213.0,201521.0,100.417315636
393,210213.0,201522.0,101.11344945
394,210213.0,201523.0,101.390661852
395,210213.0,201524.0,101.450764106
396,210213.0,201525.0,101.196463063
397,210213.0,201526.0,100.369239071
398,210213.0,201527.0,100.369239071
399,210213.0,201528.0,99.5962920168
400,210213.0,201529.0,99.4844771974
401,210213.0,201530.0,99.2186696895
402,210213.0,201531.0,99.0253645224
403,210213.0,201532.0,99.2008102138
404,210213.0,201533.0,96.4445992406
405,210213.0,201534.0,97.4175382077
406,210213.0,201535.0,97.5949700772
407,210213.0,201536.0,97.8284167158
408,210213.0,201537.0,98.4667951487
409,210213.0,201538.0,96.859216798
410,210213.0,201539.0,97.0832868035
411,210213.0,201540.0,95.8517450826
412,210213.0,201541.0,97.3252997757
413,210213.0,201542.0,97.4642597497
414,210213.0,201543.0,98.1830492695
415,210213.0,201545.0,97.7354282352
416,210213.0,201546.0,97.8694198347
417,210213.0,201547.0,96.4430771624
418,210213.0,201548.0,95.3602390917
419,210213.0,201549.0,97.3997336838
420,210213.0,201550.0,99.2469652102
421,210213.0,201551.0,99.3520318627
422,210213.0,201552.0,99.2112334257
423,210213.0,201601.0,94.7534827053
424,210213.0,201602.0,92.6057262344
425,210213.0,201603.0,91.8391891787
426,210213.0,201604.0,90.9329973021
427,210213.0,201605.0,93.3667194974
428,210213.0,201606.0,96.9582141096
429,210213.0,201607.0,97.2645013703
430,210213.0,201608.0,95.1681549731
431,210213.0,201609.0,96.931243246
432,210213.0,201610.0,96.2468513484
433,210213.0,201611.0,94.1776059105
434,210213.0,201612.0,94.9687671961
435,210213.0,201613.0,92.7596879284
436,210213.0,201614.0,92.5525089261
437,210213.0,201615.0,92.5006042933
438,210213.0,201616.0,90.1964925588
439,210213.0,201617.0,92.7350890203
440,210213.0,201618.0,93.4509855323
441,210213.0,201619.0,94.2450580141
442,210213.0,201620.0,94.2822483763
443,210213.0,201621.0,94.1953315771
444,210213.0,201622.0,94.178965235
445,210213.0,201623.0,92.3658935238
446,210213.0,201624.0,92.0452811788
447,210213.0,201625.0,92.3460871218
448,210213.0,201626.0,95.0535603408
449,210213.0,201627.0,95.3572719323
450,210213.0,201628.0,92.7497223167
451,210213.0,201629.0,92.6500000553
452,210213.0,201630.0,93.1983181308
453,210213.0,201631.0,95.9292373034
454,210213.0,201632.0,96.0368448234
455,210213.0,201644.0,95.1933660675
456,210214.0,201423.0,100.0
457,210214.0,201424.0,100.261347514
458,210214.0,201425.0,100.211074735
459,210214.0,201426.0,98.8167410223
460,210214.0,201427.0,98.3976486855
461,210214.0,201428.0,100.073471615
462,210214.0,201429.0,100.291379439
463,210214.0,201430.0,98.8493608741
464,210214.0,201431.0,99.1757288989
465,210214.0,201432.0,97.5815465357
466,210214.0,201433.0,97.1580609768
467,210214.0,201434.0,99.7546855231
468,210214.0,201435.0,98.0169240006
469,210214.0,201436.0,97.6631170335
470,210214.0,201437.0,98.2317657523
471,210214.0,201438.0,97.9610843209
472,210214.0,201439.0,96.639227417
473,210214.0,201440.0,97.1049325873
474,210214.0,201441.0,96.7996096637
475,210214.0,201442.0,97.652719981
476,210214.0,201443.0,100.791371928
477,210214.0,201444.0,101.474807913
478,210214.0,201445.0,101.582634481
479,210214.0,201446.0,101.601768249
480,210214.0,201447.0,100.98390604
481,210214.0,201448.0,100.780911184
482,210214.0,201449.0,99.4811982116
483,210214.0,201450.0,99.2583885577
484,210214.0,201451.0,99.4901419642
485,210214.0,201452.0,99.3620726199
486,210214.0,201501.0,98.8442715741
487,210214.0,201502.0,97.0743006803
488,210214.0,201503.0,96.6274538274
489,210214.0,201504.0,99.7007362797
490,210214.0,201505.0,100.080122994
491,210214.0,201506.0,99.6587767126
492,210214.0,201507.0,100.195390182
493,210214.0,201508.0,100.673111285
494,210214.0,201509.0,100.821250052
495,210214.0,201510.0,100.12637956
496,210214.0,201511.0,100.44725169
497,210214.0,201512.0,99.2165013229
498,210214.0,201513.0,100.013326958
499,210214.0,201514.0,101.714781868
500,210214.0,201515.0,101.153234926
501,210214.0,201516.0,100.823251367
502,210214.0,201517.0,100.412976522
503,210214.0,201518.0,99.7630988451
504,210214.0,201519.0,99.5213511619
505,210214.0,201520.0,99.2573785437
506,210214.0,201521.0,98.2874270363
507,210214.0,201522.0,99.2688798264
508,210214.0,201523.0,99.4396432393
509,210214.0,201524.0,99.4829809306
510,210214.0,201525.0,98.9735309587
511,210214.0,201526.0,97.729962764
512,210214.0,201527.0,97.3153768647
513,210214.0,201528.0,96.2134271773
514,210214.0,201529.0,95.3813449151
515,210214.0,201530.0,95.279098917
516,210214.0,201531.0,96.5438607306
517,210214.0,201532.0,97.8007178988
518,210214.0,201533.0,95.1428854779
519,210214.0,201534.0,96.8484016608
520,210214.0,201535.0,97.0035203086
521,210214.0,201536.0,96.127987071
522,210214.0,201537.0,95.6422487087
523,210214.0,201538.0,92.9677438427
524,210214.0,201539.0,92.680358801
525,210214.0,201540.0,93.134270534
526,210214.0,201541.0,95.2304794357
527,210214.0,201542.0,96.4670833753
528,210214.0,201543.0,97.347923538
529,210214.0,201545.0,96.2608783778
530,210214.0,201546.0,96.8116019247
531,210214.0,201547.0,95.038497123
532,210214.0,201548.0,92.8273858265
533,210214.0,201549.0,93.1230035393
534,210214.0,201550.0,94.2686534706
535,210214.0,201551.0,94.3263176516
536,210214.0,201552.0,94.5851368082
537,210214.0,201601.0,91.2583861702
538,210214.0,201602.0,86.9838136129
539,210214.0,201603.0,85.5854258757
540,210214.0,201604.0,87.6624210509
541,210214.0,201605.0,90.1437547421
542,210214.0,201606.0,93.00481205
543,210214.0,201607.0,93.3193139288
544,210214.0,201608.0,92.1253687777
545,210214.0,201609.0,95.8206569683
