,GEKS,ons_item_no,i,period
370,102.749741404,210213.0,28.0,201451.0
371,102.876443984,210213.0,29.0,201452.0
372,102.979451432,210213.0,30.0,201501.0
373,102.237591895,210213.0,31.0,201502.0
374,101.064974534,210213.0,32.0,201503.0
375,100.283952907,210213.0,33.0,201504.0
376,100.782230019,210213.0,34.0,201505.0
377,100.835669742,210213.0,35.0,201506.0
378,100.0043984,210213.0,36.0,201507.0
379,100.110918942,210213.0,37.0,201508.0
380,99.0996743728,210213.0,38.0,201509.0
381,99.6090898306,210213.0,39.0,201510.0
382,98.6258726094,210213.0,40.0,201511.0
383,99.6220565377,210213.0,41.0,201512.0
384,102.321141293,210213.0,42.0,201513.0
385,101.363499281,210213.0,43.0,201514.0
386,101.502285469,210213.0,44.0,201515.0
387,101.570837245,210213.0,45.0,201516.0
388,100.731896364,210213.0,46.0,201517.0
389,101.462290331,210213.0,47.0,201518.0
390,100.602922705,210213.0,48.0,201519.0
391,99.9498729226,210213.0,49.0,201520.0
392,100.606450975,210213.0,50.0,201521.0
393,100.790220583,210213.0,51.0,201522.0
394,100.570594124,210213.0,52.0,201523.0
395,100.704706176,210213.0,53.0,201524.0
396,99.1196568967,210213.0,54.0,201525.0
397,99.0539222525,210213.0,55.0,201526.0
398,99.1341185525,210213.0,56.0,201527.0
399,99.3192368858,210213.0,57.0,201528.0
400,98.7976617346,210213.0,58.0,201529.0
401,98.0398298716,210213.0,59.0,201530.0
402,98.2343127222,210213.0,60.0,201531.0
403,96.3360116098,210213.0,61.0,201532.0
404,96.8704043986,210213.0,62.0,201533.0
405,96.5383188013,210213.0,63.0,201534.0
406,97.5854183093,210213.0,64.0,201535.0
407,98.4951591565,210213.0,65.0,201536.0
408,96.2049592275,210213.0,66.0,201537.0
409,96.3175529722,210213.0,67.0,201538.0
410,95.6469678115,210213.0,68.0,201539.0
411,96.1545012566,210213.0,69.0,201540.0
412,97.3673514663,210213.0,70.0,201541.0
413,99.0265572523,210213.0,71.0,201542.0
414,99.4644542525,210213.0,72.0,201544.0
415,99.5758156441,210213.0,73.0,201545.0
416,98.2915374347,210213.0,74.0,201546.0
417,96.9940370145,210213.0,75.0,201547.0
418,98.2139179173,210213.0,76.0,201548.0
419,100.430798085,210213.0,77.0,201549.0
420,100.605702681,210213.0,78.0,201550.0
421,100.604222533,210213.0,79.0,201551.0
422,96.0198434267,210213.0,80.0,201552.0
423,93.7159256964,210213.0,81.0,201601.0
424,92.0912082978,210213.0,82.0,201602.0
425,90.9613924168,210213.0,83.0,201603.0
426,91.0710680579,210213.0,84.0,201604.0
427,94.0946888756,210213.0,85.0,201605.0
428,98.999852037,210213.0,86.0,201606.0
429,98.1531719508,210213.0,87.0,201607.0
430,98.5360949563,210213.0,88.0,201608.0
431,98.3052669779,210213.0,89.0,201609.0
432,96.8394382569,210213.0,90.0,201610.0
433,95.8525666999,210213.0,91.0,201611.0
434,96.0672376341,210213.0,92.0,201612.0
435,95.884208272,210213.0,93.0,201613.0
436,96.2566805708,210213.0,94.0,201614.0
437,96.1852833105,210213.0,95.0,201615.0
438,94.2925560475,210213.0,96.0,201616.0
439,96.1074419605,210213.0,97.0,201617.0
440,97.1901845494,210213.0,98.0,201618.0
441,98.8906879411,210213.0,99.0,201619.0
442,98.3200450864,210213.0,100.0,201620.0
443,96.4611237435,210213.0,101.0,201621.0
444,96.5655153687,210213.0,102.0,201622.0
445,95.8671046607,210213.0,103.0,201623.0
446,95.4853762478,210213.0,104.0,201624.0
447,95.6062909212,210213.0,105.0,201625.0
448,95.3280379945,210213.0,106.0,201626.0
449,93.636746729,210213.0,107.0,201627.0
450,90.39743635,210213.0,108.0,201628.0
451,90.756322468,210213.0,109.0,201629.0
452,91.2878245545,210213.0,110.0,201630.0
453,91.6615796137,210213.0,111.0,201631.0
454,94.5139663053,210213.0,112.0,201632.0
455,95.4144946493,210213.0,113.0,201644.0
456,100.0,210214.0,0.0,201423.0
457,100.062210771,210214.0,1.0,201424.0
458,98.7607555975,210214.0,2.0,201425.0
459,98.3439609874,210214.0,3.0,201426.0
460,99.4989253565,210214.0,4.0,201427.0
461,99.7564911922,210214.0,5.0,201428.0
462,98.2638108058,210214.0,6.0,201429.0
463,98.437889144,210214.0,7.0,201430.0
464,97.5325905204,210214.0,8.0,201431.0
465,96.8724157992,210214.0,9.0,201432.0
466,99.1004367071,210214.0,10.0,201433.0
467,98.0597213677,210214.0,11.0,201434.0
468,97.295897483,210214.0,12.0,201435.0
469,97.7455078223,210214.0,13.0,201436.0
470,97.6740059147,210214.0,14.0,201437.0
471,96.6446893575,210214.0,15.0,201438.0
472,97.1594058902,210214.0,16.0,201439.0
473,96.9595041293,210214.0,17.0,201440.0
474,97.9389417673,210214.0,18.0,201441.0
475,100.943011329,210214.0,19.0,201442.0
476,101.404156822,210214.0,20.0,201443.0
477,101.094081752,210214.0,21.0,201444.0
478,101.099094879,210214.0,22.0,201445.0
479,100.496122249,210214.0,23.0,201446.0
480,100.436921151,210214.0,24.0,201447.0
481,99.5273642317,210214.0,25.0,201448.0
482,98.9671130281,210214.0,26.0,201449.0
483,99.2580905847,210214.0,27.0,201450.0
484,99.3443422112,210214.0,28.0,201451.0
485,98.8926245363,210214.0,29.0,201452.0
486,96.9458493406,210214.0,30.0,201501.0
487,96.2624518613,210214.0,31.0,201502.0
488,98.7048612005,210214.0,32.0,201503.0
489,99.6283015125,210214.0,33.0,201504.0
490,99.2932168626,210214.0,34.0,201505.0
491,99.2773984276,210214.0,35.0,201506.0
492,99.377098838,210214.0,36.0,201507.0
493,99.6179186729,210214.0,37.0,201508.0
494,99.1022727883,210214.0,38.0,201509.0
495,99.5753015837,210214.0,39.0,201510.0
496,98.3236687534,210214.0,40.0,201511.0
497,98.786998401,210214.0,41.0,201512.0
498,100.482927149,210214.0,42.0,201513.0
499,100.000017007,210214.0,43.0,201514.0
500,99.5700101363,210214.0,44.0,201515.0
501,99.021192172,210214.0,45.0,201516.0
502,98.3011744473,210214.0,46.0,201517.0
503,98.5190458076,210214.0,47.0,201518.0
504,98.8243923388,210214.0,48.0,201519.0
505,97.9709082321,210214.0,49.0,201520.0
506,98.6784394134,210214.0,50.0,201521.0
507,99.1270273393,210214.0,51.0,201522.0
508,99.0509786405,210214.0,52.0,201523.0
509,98.7232436695,210214.0,53.0,201524.0
510,98.5356404794,210214.0,54.0,201525.0
