,ons_item_number,period,unit
375,211901.0,201610.0,93.5792574762
376,211901.0,201611.0,95.9589837378
377,212006.0,201406.0,100.0
378,212006.0,201407.0,99.4925955763
379,212006.0,201408.0,99.938261986
380,212006.0,201409.0,97.3671622744
381,212006.0,201410.0,95.3490970328
382,212006.0,201411.0,98.1063686431
383,212006.0,201412.0,99.3243962494
384,212006.0,201501.0,97.5874109475
385,212006.0,201502.0,97.2863802847
386,212006.0,201503.0,97.3299634781
387,212006.0,201504.0,97.1372509974
388,212006.0,201505.0,95.828127763
389,212006.0,201506.0,95.97844273
390,212006.0,201507.0,95.3036088319
391,212006.0,201508.0,93.1587081613
392,212006.0,201509.0,94.6401465595
393,212006.0,201510.0,97.3391255488
394,212006.0,201511.0,84.3999229816
395,212006.0,201512.0,84.3999229816
396,212006.0,201601.0,84.3999229816
397,212006.0,201602.0,84.3999229816
398,212006.0,201603.0,84.3999229816
399,212006.0,201605.0,84.3999229816
400,212006.0,201606.0,84.3999229816
401,212006.0,201607.0,84.3999229816
402,212006.0,201608.0,84.3999229816
403,212006.0,201610.0,84.3999229816
404,212006.0,201611.0,84.3999229816
405,212011.0,201406.0,100.0
406,212011.0,201407.0,100.958879928
407,212011.0,201408.0,98.8270600283
408,212011.0,201409.0,98.5462799036
409,212011.0,201410.0,97.0242023469
410,212011.0,201411.0,95.7599149224
411,212011.0,201412.0,94.5157907202
412,212011.0,201501.0,93.4130622093
413,212011.0,201502.0,93.1328810239
414,212011.0,201503.0,91.5057265547
415,212011.0,201504.0,102.9183687
416,212011.0,201505.0,105.476519787
417,212011.0,201506.0,92.6473593843
418,212011.0,201507.0,101.618950694
419,212011.0,201508.0,104.333152855
420,212011.0,201509.0,99.3371376158
421,212011.0,201510.0,117.843012714
422,212011.0,201511.0,112.15481298
423,212011.0,201512.0,109.567120165
424,212011.0,201601.0,110.087759827
425,212011.0,201602.0,113.344949996
426,212011.0,201603.0,109.756481895
427,212011.0,201604.0,105.151101145
428,212011.0,201605.0,108.605151861
429,212011.0,201606.0,99.1216577925
430,212011.0,201607.0,102.302536555
431,212011.0,201608.0,100.530006239
432,212011.0,201610.0,99.9060747831
433,212011.0,201611.0,98.5562700355
434,212016.0,201406.0,100.0
435,212016.0,201407.0,98.6367555978
436,212016.0,201408.0,98.5461269974
437,212016.0,201409.0,97.7750065184
438,212016.0,201410.0,96.0625171687
439,212016.0,201411.0,96.2510880228
440,212016.0,201412.0,96.7362215223
441,212016.0,201501.0,96.40143074
442,212016.0,201502.0,96.4873505648
443,212016.0,201503.0,93.9073729147
444,212016.0,201504.0,95.6470556463
445,212016.0,201505.0,93.3339634432
446,212016.0,201506.0,95.9918636679
447,212016.0,201507.0,96.7178514076
448,212016.0,201508.0,93.4286636047
449,212016.0,201509.0,91.7436868375
450,212016.0,201510.0,92.1878038444
451,212016.0,201511.0,94.2312704641
452,212016.0,201512.0,91.1595946007
453,212016.0,201601.0,90.7783744635
454,212016.0,201602.0,90.7208518252
455,212016.0,201603.0,86.341448781
456,212016.0,201604.0,86.0211514358
457,212016.0,201605.0,88.2066301394
458,212016.0,201606.0,91.538949749
459,212016.0,201607.0,91.1915014979
460,212016.0,201608.0,87.8492769562
461,212016.0,201610.0,86.5419935733
462,212016.0,201611.0,85.957174321
463,212017.0,201406.0,100.0
464,212017.0,201407.0,98.894785507
465,212017.0,201408.0,95.0383573325
466,212017.0,201409.0,97.3048258267
467,212017.0,201410.0,92.6548339512
468,212017.0,201411.0,93.5846749063
469,212017.0,201412.0,94.5927126594
470,212017.0,201501.0,95.5006253463
471,212017.0,201502.0,94.7657129113
472,212017.0,201503.0,91.8986548157
473,212017.0,201504.0,94.584344928
474,212017.0,201505.0,94.9362983567
475,212017.0,201506.0,89.9749972838
476,212017.0,201507.0,96.1241422641
477,212017.0,201508.0,95.508062217
478,212017.0,201509.0,92.5660495683
479,212017.0,201510.0,89.3623323371
480,212017.0,201511.0,94.9443227952
481,212017.0,201512.0,89.7013723053
482,212017.0,201601.0,91.1314245217
483,212017.0,201602.0,95.3122075345
484,212017.0,201603.0,92.4565184674
485,212017.0,201604.0,89.2221246681
486,212017.0,201605.0,87.06907549
487,212017.0,201606.0,87.6415087335
488,212017.0,201607.0,92.5372980937
489,212017.0,201608.0,96.5735611489
490,212017.0,201610.0,87.6643836774
491,212017.0,201611.0,84.0309581162
492,212319.0,201406.0,100.0
493,212319.0,201407.0,100.0
494,212319.0,201408.0,100.0
495,212319.0,201409.0,100.0
496,212319.0,201410.0,100.0
497,212319.0,201411.0,95.7320566869
498,212319.0,201412.0,68.8073394495
499,212319.0,201501.0,68.8073394495
500,212319.0,201502.0,68.8073394495
501,212319.0,201503.0,68.8073394495
502,212319.0,201504.0,68.8073394495
503,212319.0,201505.0,70.5181083448
504,212319.0,201506.0,70.5181083448
505,212319.0,201507.0,70.5096430911
506,212319.0,201508.0,65.6750646533
507,212319.0,201509.0,70.230054548
508,212319.0,201510.0,68.8073394495
509,212319.0,201511.0,70.230054548
510,212319.0,201512.0,68.4102403279
511,212319.0,201601.0,67.1341767431
512,212319.0,201602.0,68.9749303297
