,category,index,value,date
43,010000Food & Non-Alcoholic Beverages,Index3,96.0136891361,01/08/15
44,010000Food & Non-Alcoholic Beverages,Index3,94.5599609306,01/09/15
45,010000Food & Non-Alcoholic Beverages,Index3,95.4335903004,01/10/15
46,010000Food & Non-Alcoholic Beverages,Index3,96.1152298025,01/11/15
47,010000Food & Non-Alcoholic Beverages,Index3,97.7332894791,01/12/15
48,010000Food & Non-Alcoholic Beverages,Index3,94.2181754391,01/01/16
49,010000Food & Non-Alcoholic Beverages,Index3,94.8612365416,01/02/16
50,010000Food & Non-Alcoholic Beverages,Index3,94.7750263411,01/03/16
51,010000Food & Non-Alcoholic Beverages,Index3,93.4320406032,01/04/16
52,010000Food & Non-Alcoholic Beverages,Index3,93.1655934459,01/05/16
53,010000Food & Non-Alcoholic Beverages,Index3,92.1499394107,01/06/16
54,010000Food & Non-Alcoholic Beverages,Index3,91.9377256571,01/07/16
55,010000Food & Non-Alcoholic Beverages,Index3,91.769373754,01/08/16
56,010000Food & Non-Alcoholic Beverages,Index3,92.6274005113,01/10/16
57,010000Food & Non-Alcoholic Beverages,Index3,92.8224243948,01/11/16
